2018-06-17 19:38:58,347 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2018-06-17 19:38:58,371 | INFO  | Listening for connections at: amqp://1dda67ceec52:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-17 19:38:58,374 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2018-06-17 19:38:58,412 | INFO  | Listening for connections at: stomp://1dda67ceec52:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-17 19:38:58,421 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2018-06-17 19:38:58,428 | INFO  | Listening for connections at: mqtt://1dda67ceec52:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-17 19:38:58,437 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2018-06-17 19:38:58,688 | INFO  | Listening for connections at ws://1dda67ceec52:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2018-06-17 19:38:58,690 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2018-06-17 19:38:58,692 | INFO  | Apache ActiveMQ 5.12.2 (master, ID:1dda67ceec52-44675-1529264337986-0:1) started | org.apache.activemq.broker.BrokerService | main
2018-06-17 19:38:58,694 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2018-06-17 19:38:58,696 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: /opt/apache-activemq-5.12.2 only has 24619 mb of usable space - resetting to maximum available disk space: 24619 mb | org.apache.activemq.broker.BrokerService | main
2018-06-17 19:38:58,698 | WARN  | Temporary Store limit is 51200 mb (current temporary store usage is 0 mb). The temporary data directory: /opt/apache-activemq-5.12.2 only has 24619 mb of usable space - resetting to maximum available disk space: 24619 mb | org.apache.activemq.broker.BrokerService | main
2018-06-17 19:38:58,712 | DEBUG | master adding destination: topic://ActiveMQ.Advisory.MasterBroker | org.apache.activemq.broker.region.AbstractRegion | main
2018-06-17 19:38:58,721 | DEBUG | Initialized TaskRunnerFactory[ActiveMQ BrokerService[master] Task] using ExecutorService: java.util.concurrent.ThreadPoolExecutor@73194df[Running, pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0] | org.apache.activemq.thread.TaskRunnerFactory | main
2018-06-17 19:38:59,555 | DEBUG | Initializing ActiveMQ WebConsole... | org.apache.activemq.web.WebConsoleStarter | main
2018-06-17 19:38:59,565 | DEBUG | Web console type: embedded | org.apache.activemq.web.WebConsoleStarter | main
2018-06-17 19:38:59,601 | DEBUG | InitialContextFactory.getInitialContext() | jndi | main
2018-06-17 19:38:59,668 | DEBUG | Created initial context delegate for local namespace:org.eclipse.jetty.jndi.local.localContextRoot@18c5069b | jndi | main
2018-06-17 19:39:00,104 | DEBUG | InitialContextFactory.getInitialContext() | jndi | main
2018-06-17 19:39:00,112 | DEBUG | Created initial context delegate for local namespace:org.eclipse.jetty.jndi.local.localContextRoot@5dd91bca | jndi | main
2018-06-17 19:39:00,133 | DEBUG | Adding binding with key=comp obj=Reference Class Name: javax.naming.Context
Type: parser
Content: org.eclipse.jetty.jndi.java.javaNameParser
 for context=null as comp: javax.naming.Reference:Reference Class Name: javax.naming.Context
Type: parser
Content: org.eclipse.jetty.jndi.java.javaNameParser
 | jndi | main
2018-06-17 19:39:00,148 | DEBUG | Looking up name="comp/env/activemq.conf" | jndi | main
2018-06-17 19:39:00,161 | DEBUG | Trying thread context classloader | jndi | main
2018-06-17 19:39:00,169 | DEBUG | Made context comp for classloader: WebAppClassLoader=ActiveMQ Console@56f0cc85 | jndi | main
