2018-06-21 08:58:25,086 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-104
2018-06-21 08:58:25,086 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:58:25,089 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-104
2018-06-21 08:58:26,090 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:58:26,096 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-103
2018-06-21 08:58:26,100 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-103
2018-06-21 08:58:26,103 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:58:28,104 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:58:28,109 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-101
2018-06-21 08:58:28,113 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-101
2018-06-21 08:58:28,114 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:58:32,115 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:58:32,120 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-101
2018-06-21 08:58:32,125 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-101
2018-06-21 08:58:32,127 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:58:40,129 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:58:45,139 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-104
2018-06-21 08:58:45,144 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-104
2018-06-21 08:58:45,147 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:58:45,150 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:58:45,152 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-101
2018-06-21 08:58:45,155 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-101
2018-06-21 08:58:45,156 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
